step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,intersection_stopped,intersection_accumulated_waiting_time,intersection_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1455.0,0,0.0,0.0,11.418935504664427,0,0.0,0.9318097111783334,0,0.0
1460.0,0,0.0,0.0,10.659314071263838,0,0.0,0.6496506268966145,0,0.0
1465.0,1,3.0,1.0,9.614666985640989,1,3.0,0.4918052689484674,1,3.0
1470.0,1,8.0,2.0,6.177864962367288,1,8.0,0.3509214566794652,1,8.0
1475.0,2,18.0,4.5,2.8621204875557913,2,18.0,0.010018704863602018,2,18.0
1480.0,2,22.0,7.333333333333333,2.218061602053543,2,22.0,0.0,2,22.0
1485.0,2,32.0,8.0,5.68227011792102,2,32.0,0.15878864369195683,2,32.0
1490.0,1,28.0,7.0,6.910790074983267,1,28.0,0.17347369973020318,1,28.0
1495.0,1,33.0,8.25,9.835730557431122,1,33.0,0.0,1,33.0
1500.0,1,38.0,12.666666666666666,7.907358143758883,1,38.0,0.0,1,38.0
1505.0,1,43.0,14.333333333333334,9.04072881632503,1,43.0,0.49597983940411056,1,43.0
1510.0,1,48.0,24.0,6.50507808194895,1,48.0,0.416328700904856,1,48.0
1515.0,2,55.0,18.333333333333332,4.796516473634559,2,55.0,0.3334710288708846,2,55.0
1520.0,2,65.0,16.25,7.749228743540997,2,65.0,0.4923706784625282,2,65.0
1525.0,2,75.0,18.75,5.284623481099551,2,75.0,0.3224277411694818,2,75.0
1530.0,3,89.0,22.25,0.42317842716984577,3,89.0,0.024815842179256673,3,89.0
1535.0,1,73.0,18.25,3.7844305730645793,1,80.0,0.11715512126877282,1,80.0
1540.0,1,78.0,19.5,10.405044400076468,1,78.0,0.0,1,78.0
1545.0,1,83.0,11.857142857142858,11.84740491418541,1,83.0,0.6971586507702774,1,83.0
1550.0,2,90.0,15.0,9.316603108407197,2,90.0,0.4817146918184111,2,90.0
1555.0,2,8.0,1.6,7.245946326430735,2,8.0,0.3179361692386748,2,8.0
1560.0,2,18.0,4.5,6.738751141273182,2,18.0,0.0,2,18.0
1565.0,1,11.0,5.5,2.460168382327538,1,11.0,0.0,1,11.0
1570.0,1,16.0,8.0,6.514177300557554,1,16.0,0.0,1,16.0
1575.0,0,0.0,0.0,9.70120270577964,0,0.0,1.0,0,0.0
1580.0,0,0.0,0.0,13.369914488982054,0,0.0,0.9853503845723771,0,0.0
